geo_accession,title,description,char_0,char_1
"GSM4284654","pat 32 non-tumor [HDV_32B_S31]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284655","pat 33 tumor [HDV_33A_S68]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284656","pat 33 non-tumor [HDV_33B_S63]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284657","pat 34 tumor [HDV_34A_S35]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284658","pat 34 non-tumor [HDV_34B_S64]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284659","pat 35 tumor [HDV_35A_S15]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284660","pat 35 non-tumor [HDV_35B_S16]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284661","pat 36 tumor [HDV_36A_S20]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284662","pat 36 non-tumor [HDV_36B_S35]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284663","pat 37 tumor [HDV_37A_S5]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284664","pat 37 non-tumor [HDV_37B_S38]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284665","pat 38 tumor [HDV_38A_S9]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284666","pat 38 non-tumor [HDV_38B_S40]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284667","pat 39 tumor [HDV_39A_S59]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284668","pat 39 non-tumor [HDV_39B_S42]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284669","pat 3 tumor [HDV_3A_S18]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284670","pat 3 non-tumor [HDV_3B_S15]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284671","pat 40 tumor [HDV_40A_S14]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284672","pat 40 non-tumor [HDV_40B_S44]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284673","pat 41 tumor [HDV_41A_S19]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284674","pat 41 non-tumor [HDV_41B_S2]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284675","pat 42 tumor [HDV_42A_S25]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284676","pat 42 non-tumor [HDV_42B_S8]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284677","pat 43 tumor [HDV_43A_S67]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284678","pat 43 non-tumor [HDV_43B_S13]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284679","pat 44 tumor [HDV_44A_S61]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284680","pat 44 non-tumor [HDV_44B_S65]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284681","pat 45 tumor [HDV_45A_S63]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284682","pat 45 non-tumor [HDV_45B_S18]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284683","pat 46 tumor [HDV_46A_S37]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284684","pat 46 non-tumor [HDV_46B_S23]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284685","pat 47 tumor [HDV_47A_S41]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284686","pat 47 non-tumor [HDV_47B_S28]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
