Model,Metric,Mean,Std,CV_Folds
Random Forest (6-class),Accuracy,0.9343762376237624,0.02970174254888341,5
XGBoost (6-class),Accuracy,0.9364356435643563,0.03720491190759567,5
SVM RBF (6-class),Accuracy,0.9443168316831683,0.021169659767161713,5
RF Binary (High/Low Risk),AUC,0.9885952353124514,0.0022835435887185013,5
XGBoost Binary (High/Low Risk),AUC,0.9827245987221443,0.007529818449563989,5
